City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port mathurin,-19.6833,63.4167,74.64,78.0,62.0,16.13,MU,1690447882.0
margaret river,-33.95,115.0667,56.75,66.0,96.0,13.44,AU,1690447831.0
stanley,54.868,-1.6985,61.29,94.0,75.0,3.44,GB,1690447882.0
udachny,66.4167,112.4,62.6,60.0,100.0,3.22,RU,1690447883.0
blackmans bay,-43.0167,147.3167,54.73,63.0,100.0,7.36,AU,1690447883.0
grytviken,-54.2811,-36.5092,33.33,99.0,100.0,10.11,GS,1690447883.0
luanda,-8.8368,13.2343,69.8,88.0,75.0,4.61,AO,1690447704.0
beroroha,-21.6667,45.1667,79.43,26.0,0.0,6.17,MG,1690447848.0
albany,42.6001,-73.9662,72.9,81.0,78.0,3.56,US,1690447884.0
nova vicosa,-17.8919,-39.3719,68.09,80.0,1.0,1.28,BR,1690447639.0
puerto baquerizo moreno,-0.9,-89.6,74.64,82.0,100.0,12.19,EC,1690447884.0
kolonia,50.9333,6.95,64.29,90.0,75.0,13.8,DE,1690447803.0
wailua homesteads,22.0669,-159.378,79.59,81.0,75.0,17.27,US,1690447885.0
punta arenas,-53.15,-70.9167,29.32,86.0,32.0,7.36,CL,1690447885.0
port-aux-francais,-49.35,70.2167,40.91,89.0,71.0,38.41,TF,1690447886.0
hasaki,35.7333,140.8333,90.28,78.0,4.0,14.7,JP,1690447886.0
utrik,11.2278,169.8474,83.07,80.0,100.0,20.62,MH,1690447886.0
akureyri,65.6835,-18.0878,46.33,76.0,75.0,6.91,IS,1690447696.0
st. john's,47.5649,-52.7093,64.98,86.0,20.0,18.41,CA,1690447887.0
puerto natales,-51.7236,-72.4875,25.88,95.0,100.0,2.98,CL,1690447888.0
quibdo,5.6947,-76.6611,74.79,97.0,95.0,1.7,CO,1690447889.0
constantia,44.1833,28.65,65.08,63.0,100.0,10.83,RO,1690447889.0
adamstown,-25.066,-130.1015,66.97,60.0,10.0,6.22,PN,1690447890.0
edinburgh of the seven seas,-37.0676,-12.3116,50.43,57.0,86.0,18.52,SH,1690447890.0
cradock,-32.1642,25.6192,58.12,57.0,0.0,6.46,ZA,1690447890.0
ketchikan,55.3422,-131.6461,61.27,82.0,100.0,3.44,US,1690447890.0
kuusamo,65.9667,29.1833,67.3,55.0,57.0,3.87,FI,1690447890.0
newman,37.3138,-121.0208,75.18,75.0,0.0,3.69,US,1690447891.0
naze,28.3667,129.4833,79.72,83.0,100.0,12.24,JP,1690447673.0
hami,42.8,93.45,106.2,7.0,0.0,10.33,CN,1690447891.0
igarka,67.4667,86.5833,81.61,47.0,3.0,8.08,RU,1690447891.0
polyarnyy,69.1989,33.4478,55.56,86.0,100.0,3.4,RU,1690447892.0
smithers,54.7804,-127.1743,50.32,87.0,0.0,0.0,CA,1690447892.0
mariental,-24.6333,17.9667,68.85,11.0,0.0,9.15,NA,1690447801.0
ushuaia,-54.8,-68.3,28.06,74.0,0.0,8.05,AR,1690447850.0
harstad,68.799,16.5293,62.8,98.0,58.0,1.99,NO,1690447892.0
xilin hot,43.9667,116.0333,88.23,30.0,75.0,9.06,CN,1690447893.0
bilibino,68.0546,166.4372,49.69,78.0,93.0,5.95,RU,1690447893.0
reyes,-14.3167,-67.3833,71.24,88.0,92.0,2.66,BO,1690447893.0
swakopmund,-22.6833,14.5333,53.98,89.0,0.0,3.0,NA,1690447893.0
beyneu,45.3167,55.2,96.4,19.0,0.0,11.3,KZ,1690447893.0
novo aripuana,-5.1206,-60.3797,71.64,66.0,22.0,2.75,BR,1690447894.0
prokhladnyy,43.7574,44.0297,79.57,52.0,4.0,10.13,RU,1690447894.0
chichihualco,17.6833,-99.65,64.42,93.0,100.0,0.92,MX,1690447894.0
saipan,15.1355,145.701,83.1,100.0,40.0,11.5,MP,1690447894.0
qaqortoq,60.7167,-46.0333,46.33,74.0,97.0,2.04,GL,1690447895.0
sandnessjoen,66.0217,12.6316,68.52,88.0,75.0,5.75,NO,1690447895.0
ola,59.5833,151.2833,64.15,98.0,100.0,3.22,RU,1690447900.0
temerluh,3.4506,102.4176,90.99,77.0,100.0,1.99,MY,1690447900.0
rio gallegos,-51.6226,-69.2181,12.25,92.0,0.0,5.75,AR,1690447901.0
kuta,-8.7233,115.1723,80.55,69.0,40.0,15.01,ID,1690447901.0
college,64.8569,-147.8028,73.38,77.0,75.0,4.61,US,1690447901.0
araucaria,-25.5931,-49.4103,58.01,92.0,10.0,1.61,BR,1690447901.0
new norfolk,-42.7826,147.0587,55.92,73.0,100.0,4.12,AU,1690447901.0
minas de marcona,-15.2119,-75.1103,52.47,91.0,48.0,11.36,PE,1690447902.0
bamboo flat,11.7,92.7167,87.89,74.0,40.0,14.97,IN,1690447689.0
chibougamau,49.9168,-74.3659,53.22,76.0,0.0,4.52,CA,1690447902.0
mata-utu,-13.2816,-176.1745,80.89,75.0,98.0,16.87,WF,1690447887.0
taltal,-25.4,-70.4833,57.45,86.0,68.0,2.13,CL,1690447903.0
papatowai,-46.5619,169.4708,45.0,84.0,100.0,11.27,NZ,1690447903.0
klyuchi,52.2667,79.1667,67.5,68.0,100.0,11.74,RU,1690447903.0
kodinsk,58.6881,99.1844,79.5,46.0,54.0,9.53,RU,1690447903.0
ilulissat,69.2167,-51.1,38.34,77.0,31.0,5.28,GL,1690447904.0
la passe,45.5549,-0.8967,74.03,69.0,36.0,9.17,FR,1690447904.0
invercargill,-46.4,168.35,45.18,83.0,98.0,6.31,NZ,1690447904.0
la sarre,48.8002,-79.1996,52.32,97.0,19.0,5.28,CA,1690447904.0
korla,41.7597,86.1469,101.64,13.0,1.0,8.97,CN,1690447904.0
talnakh,69.4865,88.3972,85.21,39.0,73.0,1.43,RU,1690447860.0
iqaluit,63.7506,-68.5145,40.73,93.0,40.0,0.0,CA,1690447905.0
olonkinbyen,70.9221,-8.7187,40.91,90.0,100.0,12.41,SJ,1690447905.0
tazovsky,67.4667,78.7,69.26,66.0,23.0,7.81,RU,1690447905.0
jamestown,42.097,-79.2353,71.19,98.0,100.0,11.5,US,1690447618.0
longyearbyen,78.2186,15.6401,55.24,50.0,75.0,14.97,SJ,1690447863.0
waitangi,-43.9535,-176.5597,44.82,55.0,51.0,16.98,NZ,1690447906.0
coahuayana de hidalgo,18.7,-103.6583,76.69,93.0,100.0,3.4,MX,1690447906.0
la ronge,55.1001,-105.2842,53.85,76.0,100.0,14.97,CA,1690447907.0
monte alegre de minas,-18.8706,-48.8808,64.44,38.0,0.0,7.05,BR,1690447907.0
afaahiti,-17.75,-149.2833,73.27,85.0,71.0,8.5,PF,1690447907.0
petropavlovsk-kamchatsky,53.0452,158.6483,55.99,88.0,20.0,13.42,RU,1690447907.0
paracuru,-3.41,-39.0306,76.1,91.0,11.0,11.18,BR,1690447744.0
mokhsogollokh,61.4681,128.9203,75.72,47.0,46.0,5.17,RU,1690447908.0
puerto ayora,-0.7393,-90.3518,76.55,93.0,96.0,5.99,EC,1690447908.0
yellowknife,62.456,-114.3525,63.12,55.0,20.0,8.05,CA,1690447908.0
guntakal junction,15.1667,77.3833,77.45,79.0,100.0,23.09,IN,1690447909.0
ghat,24.9647,10.1728,98.98,7.0,2.0,4.09,LY,1690447710.0
rawah,34.4816,41.9093,108.59,11.0,0.0,13.87,IQ,1690447698.0
codrington,-38.2667,141.9667,57.13,69.0,99.0,14.23,AU,1690447909.0
newport,51.5877,-2.9984,67.77,94.0,100.0,12.26,GB,1690447910.0
devils lake,48.1128,-98.8651,68.95,77.0,0.0,3.44,US,1690447910.0
arraial do cabo,-22.9661,-42.0278,67.96,94.0,0.0,10.36,BR,1690447910.0
midvagur,62.0511,-7.1939,49.03,81.0,100.0,13.8,FO,1690447911.0
yekaterinoslavka,50.3734,129.1139,70.5,95.0,100.0,10.47,RU,1690447911.0
howrah,22.5892,88.3103,89.6,74.0,75.0,16.11,IN,1690447720.0
san patricio,28.017,-97.5169,85.86,85.0,0.0,8.5,US,1690447912.0
tulsipur,28.131,82.2973,88.83,58.0,96.0,3.47,NP,1690447690.0
novokubansk,45.117,41.0267,93.07,37.0,0.0,11.95,RU,1690447917.0
hermanus,-34.4187,19.2345,60.8,72.0,3.0,8.01,ZA,1690447918.0
kondratovo,57.9804,56.1066,84.49,45.0,0.0,13.42,RU,1690447918.0
isafjordur,66.0755,-23.124,44.64,76.0,75.0,11.5,IS,1690447918.0
ar ruseris,11.8659,34.3869,76.66,77.0,100.0,7.99,SD,1690447918.0
bitkine,11.9801,18.2138,82.33,57.0,100.0,6.55,TD,1690447761.0
san pedro pochutla,15.7333,-96.4667,77.72,82.0,97.0,4.83,MX,1690447919.0
mejit,10.2753,170.8646,82.69,80.0,100.0,20.76,MH,1690447919.0
lihue,21.9789,-159.3672,80.19,78.0,75.0,17.27,US,1690447919.0
bredasdorp,-34.5322,20.0403,59.02,69.0,0.0,5.19,ZA,1690447919.0
whitehorse,60.7161,-135.0538,59.77,81.0,75.0,10.36,CA,1690447920.0
tiksi,71.6872,128.8694,48.87,65.0,84.0,5.37,RU,1690447920.0
pisco,-13.7,-76.2167,64.45,77.0,100.0,2.3,PE,1690447920.0
avarua,-21.2078,-159.775,64.45,100.0,19.0,1.14,CK,1690447921.0
burlington,39.8835,-74.6413,76.89,97.0,75.0,6.91,US,1690447921.0
borgarnes,64.5383,-21.9206,52.81,65.0,81.0,12.46,IS,1690447921.0
dudinka,69.4058,86.1778,85.62,40.0,58.0,4.72,RU,1690447921.0
mitu,1.1983,-70.1733,72.37,95.0,95.0,1.68,CO,1690447922.0
kill devil hills,36.0307,-75.676,80.98,87.0,40.0,5.75,US,1690447922.0
queenstown,-31.8976,26.8753,60.21,31.0,0.0,10.31,ZA,1690447922.0
whistler,50.1164,-122.9695,53.56,83.0,60.0,1.97,CA,1690447923.0
noumea,-22.2763,166.4572,64.38,65.0,100.0,15.19,NC,1690447878.0
prince rupert,54.3161,-130.3201,56.89,97.0,100.0,4.61,CA,1690447923.0
peniche,39.3558,-9.3811,69.3,83.0,100.0,11.95,PT,1690447923.0
port elizabeth,-33.918,25.5701,63.1,72.0,0.0,11.5,ZA,1690447924.0
lahat,-3.8,103.5333,89.89,54.0,47.0,3.27,ID,1690447924.0
touros,-5.1989,-35.4608,74.46,90.0,59.0,11.1,BR,1690447924.0
cidreira,-30.1811,-50.2056,53.85,86.0,70.0,10.04,BR,1690447924.0
mount pearl,47.5166,-52.7813,64.15,86.0,20.0,18.41,CA,1690447627.0
keflavik,64.0049,-22.5624,52.23,71.0,0.0,13.8,IS,1690447697.0
floro,61.5996,5.0328,60.76,72.0,75.0,6.91,NO,1690447925.0
saint-philippe,-21.3585,55.7679,74.79,74.0,69.0,11.79,RE,1690447925.0
hamilton,39.1834,-84.5333,79.57,78.0,40.0,8.05,US,1690447925.0
hawaiian paradise park,19.5933,-154.9731,75.04,99.0,100.0,0.0,US,1690447926.0
riberalta,-10.9833,-66.1,69.44,64.0,40.0,2.98,BO,1690447926.0
tangalle,6.024,80.7911,95.16,64.0,73.0,17.4,LK,1690447926.0
peace river,56.2501,-117.286,57.65,100.0,40.0,5.75,CA,1690447926.0
mouila,-1.8685,11.0559,85.12,56.0,55.0,3.31,GA,1690447926.0
conde,-7.2597,-34.9075,72.86,94.0,75.0,4.61,BR,1690447927.0
usinsk,65.9939,57.5281,74.16,49.0,6.0,2.33,RU,1690447927.0
tofol,5.3248,163.0078,82.49,74.0,100.0,2.51,FM,1690447927.0
vilyuysk,63.7553,121.6247,76.75,36.0,10.0,3.8,RU,1690447927.0
kapa'a,22.0752,-159.319,80.92,79.0,75.0,17.27,US,1690447928.0
twon-brass,4.3151,6.2418,79.27,83.0,100.0,12.35,NG,1690447928.0
bethel,41.3712,-73.414,73.69,88.0,0.0,1.99,US,1690447928.0
port lincoln,-34.7333,135.8667,61.7,67.0,70.0,16.35,AU,1690447744.0
tanjung pandan,-2.75,107.65,85.89,63.0,59.0,12.3,ID,1690447921.0
tarawa,1.419,172.984,78.89,89.0,40.0,2.3,KI,1690447929.0
qui nhon,13.7667,109.2333,93.58,55.0,91.0,12.91,VN,1690447802.0
kongolo,-5.3833,27.0,89.1,25.0,5.0,9.37,CD,1690447934.0
mount gambier,-37.8333,140.7667,52.7,94.0,100.0,11.23,AU,1690447934.0
kerikeri,-35.2268,173.9474,50.92,82.0,21.0,5.01,NZ,1690447935.0
nova sintra,14.8667,-24.7167,73.96,83.0,32.0,10.49,CV,1690447935.0
atafu village,-8.5421,-172.5159,83.34,76.0,53.0,16.67,TK,1690447935.0
murehwa,-17.6432,31.784,68.99,40.0,9.0,5.03,ZW,1690447935.0
mugia,43.1041,-9.2179,68.92,80.0,55.0,9.71,ES,1690447936.0
benin city,6.335,5.6275,80.73,79.0,99.0,4.99,NG,1690447936.0
ponta delgada,37.7333,-25.6667,77.5,88.0,75.0,8.05,PT,1690447936.0
sault ste. marie,46.5168,-84.3333,64.22,96.0,20.0,3.44,CA,1690447936.0
miquelon,47.0975,-56.3814,64.4,95.0,57.0,8.14,PM,1690447937.0
georgetown,5.4112,100.3354,91.35,66.0,20.0,8.05,MY,1690447651.0
queensbury,53.7667,-1.9167,63.37,95.0,100.0,11.01,GB,1690447937.0
jinchang,38.4953,102.1739,89.87,18.0,12.0,16.62,CN,1690447937.0
moyamba,8.1667,-12.4333,77.86,90.0,51.0,2.91,SL,1690447938.0
montepuez,-13.1256,38.9997,80.37,30.0,5.0,7.87,MZ,1690447850.0
nar'yan-mar,67.6713,53.087,74.16,47.0,27.0,4.25,RU,1690447938.0
bunia,1.5667,30.25,76.35,58.0,63.0,8.55,CD,1690447938.0
la'ie,21.6477,-157.9253,80.56,82.0,39.0,7.0,US,1690447938.0
coquimbo,-29.9533,-71.3436,55.53,90.0,100.0,4.14,CL,1690447939.0
palikir - national government center,6.9248,158.1611,81.34,83.0,100.0,2.3,FM,1690447939.0
tual,-5.6667,132.75,78.91,85.0,59.0,19.69,ID,1690447673.0
iskateley,67.6803,53.1512,74.01,47.0,28.0,3.98,RU,1690447939.0
east london,-33.0153,27.9116,63.54,72.0,20.0,14.97,ZA,1690447939.0
colonia general alfredo stroessner,-25.3667,-55.7,55.53,99.0,30.0,5.3,PY,1690447940.0
port macquarie,-31.4333,152.9167,52.9,76.0,0.0,9.53,AU,1690447685.0
port alfred,-33.5906,26.891,64.18,80.0,26.0,5.99,ZA,1690447940.0
happy valley-goose bay,53.3168,-60.3315,61.11,77.0,75.0,0.0,CA,1690447940.0
northam,51.0333,-4.2167,67.66,98.0,100.0,14.23,GB,1690447941.0
thinadhoo,0.5333,72.9333,84.2,76.0,16.0,12.86,MV,1690447941.0
yuzhno-kurilsk,44.0306,145.8556,69.8,90.0,93.0,3.0,RU,1690447941.0
sao jose da coroa grande,-8.8978,-35.1478,73.99,85.0,63.0,3.89,BR,1690447941.0
broken hill,-31.95,141.4333,62.53,39.0,96.0,11.23,AU,1690447941.0
el abiodh sidi cheikh,32.893,0.5484,95.47,9.0,4.0,7.52,DZ,1690447710.0
guerrero negro,27.9769,-114.0611,68.18,82.0,5.0,5.68,MX,1690447946.0
roma,43.2128,-75.4557,75.34,80.0,100.0,0.0,US,1690447946.0
salahonda,2.1019,-78.7217,79.36,84.0,93.0,9.64,CO,1690447947.0
ixtlahuacan del rio,20.8667,-103.25,58.06,97.0,98.0,1.25,MX,1690447948.0
kulhudhuffushi,6.6221,73.07,83.41,69.0,99.0,8.21,MV,1690447948.0
lander,42.833,-108.7307,74.21,42.0,0.0,11.5,US,1690447948.0
great bend,38.3645,-98.7648,77.13,65.0,0.0,5.75,US,1690447948.0
kapuskasing,49.4169,-82.4331,51.89,100.0,0.0,2.3,CA,1690447948.0
rongelap,11.1635,166.8941,83.25,80.0,100.0,16.91,MH,1690447949.0
mirny,62.5353,113.9611,77.23,41.0,70.0,11.01,RU,1690447949.0
molde,62.7375,7.1591,62.71,88.0,75.0,4.61,NO,1690447949.0
kayangel,8.0823,134.7173,78.58,90.0,100.0,27.07,PW,1690447949.0
savanna-la-mar,18.219,-78.1332,82.35,88.0,91.0,2.35,JM,1690447950.0
burao,9.5221,45.5336,86.29,34.0,26.0,28.01,SO,1690447955.0
cururupu,-1.8283,-44.8683,74.43,93.0,27.0,3.02,BR,1690447955.0
kununurra,-15.7667,128.7333,82.38,28.0,2.0,6.91,AU,1690447955.0
labytnangi,66.6572,66.4183,70.07,73.0,97.0,1.41,RU,1690447956.0
yokadouma,3.5167,15.05,78.28,88.0,76.0,0.38,CM,1690447956.0
meadow lake,34.8014,-106.5436,78.67,58.0,100.0,5.91,US,1690447956.0
castillos,-34.1667,-53.8333,47.16,76.0,74.0,10.11,UY,1690447956.0
pacific grove,36.6177,-121.9166,57.65,93.0,100.0,4.61,US,1690447956.0
geraldton,-28.7667,114.6,63.01,67.0,75.0,10.36,AU,1690447737.0
nadym,65.5333,72.5167,78.35,47.0,95.0,8.28,RU,1690447957.0
nagqu,31.5,92.0,53.02,68.0,91.0,11.41,CN,1690447957.0
caleta de carquin,-11.0925,-77.6267,65.61,84.0,59.0,7.9,PE,1690447957.0
saltillo,25.4167,-101.0,67.28,56.0,3.0,3.98,MX,1690447958.0
taroa,8.7058,171.2275,80.4,85.0,100.0,27.56,MH,1690447958.0
hadibu,12.65,54.0333,81.25,64.0,89.0,32.66,YE,1690447958.0
tazacorte,28.629,-17.9293,76.17,78.0,40.0,19.57,ES,1690447958.0
kodiak,57.79,-152.4072,54.91,88.0,100.0,5.75,US,1690447959.0
debark',13.1561,37.8981,57.31,79.0,75.0,4.61,ET,1690447766.0
thompson,55.7435,-97.8558,51.96,93.0,100.0,14.97,CA,1690447959.0
abilene,32.4487,-99.7331,80.94,50.0,86.0,1.01,US,1690447959.0
lebu,-37.6167,-73.65,48.25,88.0,100.0,5.23,CL,1690447959.0
tolanaro,-25.0319,46.9987,71.67,64.0,40.0,11.5,MG,1690447960.0
gobabis,-22.45,18.9667,72.37,21.0,0.0,9.48,NA,1690447804.0
dzhangala,49.2167,50.3333,96.69,21.0,0.0,8.84,KZ,1690447960.0
west island,-12.1568,96.8225,78.78,78.0,100.0,21.85,CC,1690447960.0
canutama,-6.5339,-64.3831,71.56,65.0,45.0,3.02,BR,1690447961.0
remire-montjoly,4.9167,-52.2667,73.44,100.0,100.0,0.0,GF,1690447961.0
fortuna,40.5982,-124.1573,56.35,96.0,100.0,0.0,US,1690447961.0
jiaojiang,28.6803,121.4428,79.0,96.0,100.0,11.5,CN,1690447961.0
tralee,52.2704,-9.7026,61.05,100.0,75.0,9.22,IE,1690447962.0
kourou,5.1552,-52.6478,73.45,91.0,45.0,6.33,GF,1690447688.0
flying fish cove,-10.4217,105.6791,78.48,78.0,75.0,13.8,CX,1690447962.0
cannonvale,-20.2833,148.7,67.39,74.0,96.0,17.85,AU,1690447962.0
kayenta,36.7278,-110.2546,73.42,35.0,99.0,3.87,US,1690447962.0
al bayda,32.7627,21.7551,84.16,54.0,2.0,15.82,LY,1690447963.0
kargasok,59.0556,80.8572,78.03,48.0,99.0,5.97,RU,1690447963.0
richards bay,-28.783,32.0377,73.18,61.0,0.0,3.02,ZA,1690447963.0
soroca,48.1558,28.2975,64.4,63.0,100.0,17.74,MD,1690447963.0
ciudad de huitzuco,18.3,-99.35,66.87,90.0,100.0,1.66,MX,1690447964.0
koulamoutou,-1.1303,12.4736,70.18,52.0,15.0,1.21,GA,1690447766.0
qarqaraly,49.4058,75.4742,84.74,27.0,100.0,20.0,KZ,1690447964.0
sechura,-5.5569,-80.8222,69.44,85.0,46.0,9.17,PE,1690447964.0
puerto lempira,15.2667,-83.7667,78.31,85.0,74.0,3.0,HN,1690447964.0
idri,27.5,13.2667,101.26,6.0,0.0,7.78,LY,1690447965.0
pechora,65.1472,57.2244,76.66,44.0,25.0,1.3,RU,1690447965.0
cole harbour,44.6724,-63.4751,65.93,94.0,99.0,4.61,CA,1690447965.0
puerto aysen,-45.4,-72.7,34.72,99.0,99.0,0.58,CL,1690447965.0
manado,1.487,124.8455,88.57,62.0,40.0,12.66,ID,1690447867.0
kani keli,-12.9536,45.1033,81.66,68.0,53.0,17.81,YT,1690447966.0
las tablas,7.7667,-80.2833,77.4,87.0,96.0,4.43,PA,1690447966.0
novodvinsk,64.4165,40.8122,67.98,65.0,81.0,7.23,RU,1690447971.0
chonchi,-42.6128,-73.8092,46.11,98.0,100.0,6.17,CL,1690447971.0
caucete,-31.6518,-68.2811,47.03,63.0,71.0,2.44,AR,1690447972.0
aasiaat,68.7098,-52.8699,37.69,93.0,18.0,11.16,GL,1690447972.0
holualoa,19.6228,-155.9522,76.84,84.0,0.0,6.91,US,1690447972.0
blackfoot,43.1905,-112.345,70.88,32.0,56.0,6.46,US,1690447972.0
fort bragg,35.139,-79.006,76.84,90.0,0.0,6.91,US,1690447734.0
ghadamis,30.1337,9.5007,103.62,12.0,0.0,13.15,LY,1690447973.0
ust-nera,64.5667,143.2,56.46,54.0,98.0,5.01,RU,1690447973.0
brisas de zicatela,15.8369,-97.0419,78.76,77.0,99.0,5.86,MX,1690447973.0
ambon,-3.6954,128.1814,80.74,78.0,40.0,3.44,ID,1690447974.0
sungurlu,40.1675,34.3739,94.95,14.0,0.0,5.75,TR,1690447974.0
alta,69.9689,23.2717,61.86,79.0,0.0,10.0,NO,1690447974.0
colares,38.7992,-9.4469,69.94,76.0,75.0,30.0,PT,1690447974.0
tura,25.5198,90.2201,79.93,90.0,100.0,5.21,IN,1690447780.0
baishishan,43.5833,127.5667,81.52,70.0,84.0,5.97,CN,1690447975.0
sonoita,31.85,-112.8333,89.71,45.0,40.0,3.56,MX,1690447975.0
constitucion,-35.3333,-72.4167,48.34,75.0,100.0,6.98,CL,1690447975.0
laguna,38.421,-121.4238,71.55,72.0,0.0,6.91,US,1690447975.0
canandaigua,42.8742,-77.288,72.82,91.0,100.0,11.65,US,1690447978.0
lata,40.1629,-8.3327,65.07,81.0,100.0,4.72,PT,1690447978.0
cadale,2.7603,46.3222,80.02,71.0,86.0,22.5,SO,1690447979.0
ceeldheer,3.8488,47.1806,84.87,55.0,41.0,25.59,SO,1690447862.0
gebeit,21.0667,36.3167,103.66,17.0,1.0,19.66,SD,1690447979.0
pangody,65.85,74.4859,80.71,40.0,100.0,10.07,RU,1690447979.0
saudarkrokur,65.7461,-19.6394,51.44,69.0,5.0,5.01,IS,1690447979.0
kelso,46.1468,-122.9084,62.56,77.0,0.0,0.0,US,1690447980.0
teluk nibung,3.001,99.8164,86.81,66.0,88.0,7.7,ID,1690447980.0
ivolginsk,51.7492,107.2837,78.46,44.0,40.0,15.66,RU,1690447980.0
ad dilam,23.9915,47.1627,111.61,7.0,90.0,7.11,SA,1690447980.0
ain defla,36.2641,1.9679,91.47,29.0,33.0,4.27,DZ,1690447981.0
kameoka,35.0,135.5833,91.69,80.0,93.0,2.91,JP,1690447913.0
glenwood springs,39.5505,-107.3248,69.03,65.0,0.0,4.61,US,1690447981.0
suances,43.4334,-4.0434,74.21,84.0,75.0,3.44,ES,1690447981.0
farah,32.5,62.5,104.94,8.0,2.0,8.55,AF,1690447981.0
sao joao da barra,-21.6403,-41.0511,69.93,85.0,57.0,15.68,BR,1690447982.0
oyama,36.3,139.8,95.59,38.0,54.0,8.81,JP,1690447982.0
cova figueira,14.8905,-24.2934,74.84,84.0,21.0,8.75,CV,1690447982.0
espelkamp,52.3833,8.6167,59.72,90.0,100.0,10.47,DE,1690447982.0
launceston,-41.45,147.1667,51.44,84.0,100.0,12.66,AU,1690447983.0
tidjikja,18.5564,-11.4271,86.65,37.0,21.0,12.93,MR,1690447983.0
shiguai,40.7058,110.2856,85.5,32.0,100.0,8.28,CN,1690447983.0
magadan,59.5667,150.8,63.54,98.0,100.0,2.51,RU,1690447983.0
sao geraldo do araguaia,-6.4006,-48.555,70.07,54.0,0.0,1.83,BR,1690447983.0
vilyuchinsk,52.9306,158.4028,57.47,93.0,98.0,4.79,RU,1690447984.0
pikeville,37.4793,-82.5188,81.41,79.0,100.0,4.61,US,1690447984.0
awjilah,29.1081,21.2869,102.69,11.0,0.0,8.75,LY,1690447984.0
lompoc,34.6391,-120.4579,57.52,96.0,100.0,6.91,US,1690447985.0
moultonborough,43.7548,-71.3967,69.71,84.0,100.0,1.9,US,1690447985.0
tulun,54.5611,100.5792,76.5,49.0,65.0,6.04,RU,1690447990.0
anahuac,27.2333,-100.15,79.34,69.0,1.0,19.57,MX,1690447990.0
puerto ayacucho,5.6639,-67.6236,73.94,94.0,93.0,3.06,VE,1690447991.0
al wajh,26.2455,36.4525,96.75,41.0,0.0,6.91,SA,1690447991.0
vila franca do campo,37.7167,-25.4333,77.2,82.0,30.0,7.36,PT,1690447991.0
enewetak,11.3474,162.3373,83.32,79.0,100.0,14.83,MH,1690447992.0
bihariganj,25.7333,86.9833,95.54,49.0,100.0,9.86,IN,1690447751.0
lospalos,-8.5186,127.0025,70.61,80.0,64.0,8.01,TL,1690447993.0
kidal,18.4411,1.4078,100.38,24.0,92.0,10.89,ML,1690447752.0
sola,-13.8833,167.55,76.12,79.0,100.0,30.53,VU,1690447993.0
horta,38.5333,-28.6333,73.04,97.0,75.0,11.5,PT,1690447994.0
dunyapur,29.7995,71.7196,87.42,70.0,99.0,9.17,PK,1690447700.0
trapani,37.8333,12.6667,82.49,58.0,20.0,12.66,IT,1690447994.0
